번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),위생업태명,남성종사자수,여성종사자수,영업장주변구분명,등급구분명,급수시설구분명,총직원수,본사직원수,공장사무직직원수,공장판매직직원수,공장생산직직원수,건물소유구분명,보증액,월세액,다중이용업소여부,시설총규모,전통업소지정번호,전통업소주된음식,홈페이지
69,일반음식점,07_24_04_P,4490000,5660000-101-2023-00558,11/20/23,,03,폐업,02,폐업,12/18/23,,,,,33,331-978,충청남도 천안시 서북구 성정동 1300 스카이빌딩,"충청남도 천안시 서북구 성정공원5로 21, 스카이빌딩 5층 503일부호 (성정동)",31109,클락온,12/18/23 16:57,U,12/20/23 2:40,기타,212420.34,369652.235,기타,0,0,,,지하수전용,0,0,0,0,0,,0,0,N,33,,,
70,일반음식점,07_24_04_P,3460000,3460000-101-2023-00360,9/21/23,,03,폐업,02,폐업,9/24/23,,,,,,706-801,대구광역시 수성구 두산동 499-4 수성못 솔숲광장 먹거리부스 (2024 수성못 페스티벌),"대구광역시 수성구 무학로 112, 수성못 솔숲광장 먹거리부스(2024 수성못 페스티벌) (두산동)",42203,옛날시골통닭,9/25/23 4:15,U,9/27/23 2:40,호프/통닭,346381.129,260006.0883,호프/통닭,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
71,일반음식점,07_24_04_P,3460000,3460000-101-2023-00359,9/21/23,,03,폐업,02,폐업,9/24/23,,,,,,706-801,대구광역시 수성구 두산동 499-4 수성못 솔숲광장 먹거리부스(2023 수성못페스티벌),"대구광역시 수성구 무학로 112, 수성못 솔숲광장 먹거리부스(2023 수성못페스티벌) (두산동)",42203,가마솥,9/25/23 4:15,U,9/27/23 2:40,한식,346381.129,260006.0883,한식,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
72,일반음식점,07_24_04_P,5110000,5110000-101-2023-00083,9/22/23,,03,폐업,02,폐업,3/30/24,,,,,41,742-802,경상북도 상주시 함창읍 구향리 173-1,경상북도 상주시 함창읍 함창중앙로 84,37117,참맛있떡,4/15/24 11:28,U,4/17/24 2:40,기타,305077.088,341297.6039,기타,0,0,,,,0,0,0,0,0,,0,0,N,41,,,
73,일반음식점,07_24_04_P,4610000,4610000-101-2023-00119,9/22/23,,03,폐업,02,폐업,7/4/24,,,,,120.7,340-803,충청남도 예산군 예산읍 산성리 734-2,충청남도 예산군 예산읍 벚꽃로127번길 24,32429,송탄인생부대찌개본점,7/4/24 14:55,U,7/6/24 2:40,한식,185038.3372,354565.8522,한식,0,0,,,상수도전용,0,0,0,0,0,,0,0,N,120.7,,,
74,일반음식점,07_24_04_P,4351000,4351000-101-2023-00131,9/22/23,,03,폐업,02,폐업,10/8/23,,,,,9,,강원특별자치도 양양군 양양읍 남문리 226-2,,,양양군 여성단체 협의회,10/9/23 4:15,U,10/12/23 2:40,한식,342453.8243,509055.2125,한식,0,0,,,,0,0,0,0,0,,0,0,N,9,,,
75,일반음식점,07_24_04_P,4351000,4351000-101-2023-00130,9/22/23,,03,폐업,02,폐업,10/8/23,,,,,9,,강원특별자치도 양양군 양양읍 남문리 226-2 외 4필지,,,아야진 김밥,10/9/23 4:15,U,10/12/23 2:40,한식,342453.8243,509055.2125,한식,0,0,,,,0,0,0,0,0,,0,0,N,9,,,
76,일반음식점,07_24_04_P,4351000,4351000-101-2023-00129,9/22/23,,03,폐업,02,폐업,10/8/23,,,,,9,,강원특별자치도 양양군 양양읍 남문리 226-2 외 4필지,,,한국자유총연맹 양양군지회,10/9/23 4:15,U,10/12/23 2:40,기타,342453.8243,509055.2125,기타,0,0,,,,0,0,0,0,0,,0,0,N,9,,,
77,일반음식점,07_24_04_P,4351000,4351000-101-2023-00128,9/22/23,,03,폐업,02,폐업,10/8/23,,,,,9,,강원특별자치도 양양군 양양읍 남문리 226-2 외 4필지,,,생활개선회,10/9/23 4:15,U,10/12/23 2:40,한식,342453.8243,509055.2125,한식,0,0,,,,0,0,0,0,0,,0,0,N,9,,,
78,일반음식점,07_24_04_P,4351000,4351000-101-2023-00127,9/22/23,,03,폐업,02,폐업,10/8/23,,,,,9,,강원특별자치도 양양군 양양읍 남문리 226-2 외 4필지,,,올라칸바스,10/9/23 4:15,U,10/12/23 2:40,한식,342453.8243,509055.2125,한식,0,0,,,,0,0,0,0,0,,0,0,N,9,,,
79,일반음식점,07_24_04_P,4351000,4351000-101-2023-00126,9/22/23,,03,폐업,02,폐업,10/8/23,,,,,9,,강원특별자치도 양양군 양양읍 남문리 226-2 외 4필지,,,양양군새마을회,10/9/23 4:15,U,10/12/23 2:40,한식,342453.8243,509055.2125,한식,0,0,,,,0,0,0,0,0,,0,0,N,9,,,
80,일반음식점,07_24_04_P,4351000,4351000-101-2023-00125,9/22/23,,03,폐업,02,폐업,10/8/23,,,,,9,,강원특별자치도 양양군 양양읍 남문리 226-2 외 4필지,,,허니홈비,10/9/23 4:15,U,10/12/23 2:40,기타,342453.8243,509055.2125,기타,0,0,,,,0,0,0,0,0,,0,0,N,9,,,
81,일반음식점,07_24_04_P,4351000,4351000-101-2023-00124,9/22/23,,03,폐업,02,폐업,10/8/23,,,,,9,,강원특별자치도 양양군 양양읍 남문리 226-2 외 4필지,,,드림분식,10/9/23 4:15,U,10/12/23 2:40,한식,342453.8243,509055.2125,한식,0,0,,,,0,0,0,0,0,,0,0,N,9,,,
82,일반음식점,07_24_04_P,4351000,4351000-101-2023-00123,9/22/23,,03,폐업,02,폐업,10/8/23,,,,,9,,강원특별자치도 양양군 양양읍 남문리 226-2 외 4필지,,,후다닭 불족(양양불게강정),10/9/23 4:15,U,10/12/23 2:40,한식,342453.8243,509055.2125,한식,0,0,,,,0,0,0,0,0,,0,0,N,9,,,
83,일반음식점,07_24_04_P,4351000,4351000-101-2023-00122,9/22/23,,03,폐업,02,폐업,10/8/23,,,,,9,,강원특별자치도 양양군 양양읍 남문리 226-2 외 4필지,,,벙커38점1(주)농업회사법인,10/9/23 4:15,U,10/12/23 2:40,한식,342453.8243,509055.2125,한식,0,0,,,,0,0,0,0,0,,0,0,N,9,,,
